ibsym,Desc,filename,c2sym,multiplier,CSIsym2,CSIsym,triggertime,margin,reqId,contractMonth,liquidHours,longName,minTick,tradingHours,timeZoneId,underConId,evRule,evMultiplier,expiry,exchange,secType,currency,contracts,Date,timestamp
NQ,Nasdaq 100 Index-E-mini,NQ_0_I0R.TXT,@NQ,20,NQ,NQ,30,3900,1729.0,201712,"20171202:CLOSED;20171203:CLOSED;20171204:0830-1515,1530-1600;20171205:0830-1515,1530-1600;20171206:0830-1515,1530-1600;20171207:0830-1515,1530-1600;20171208:0830-1515,1530-1600;20171209:CLOSED;20171210:CLOSED;20171211:0830-1515,1530-1600;20171212:0830-1515,1530-1600;20171213:0830-1515,1530-1600;20171214:0830-1515,1530-1600;20171215:CLOSED;20171216:CLOSED;20171217:CLOSED",E-mini NASDAQ 100 Futures,0.25,"20171202:CLOSED;20171203:CLOSED;20171204:1700-1515,1530-1600;20171205:1700-1515,1530-1600;20171206:1700-1515,1530-1600;20171207:1700-1515,1530-1600;20171208:1700-1515,1530-1600;20171209:CLOSED;20171210:CLOSED;20171211:1700-1515,1530-1600;20171212:1700-1515,1530-1600;20171213:1700-1515,1530-1600;20171214:1700-1515,1530-1600;20171215:1700-0830;20171216:CLOSED;20171217:CLOSED",CST,11004958.0,,0.0,20171215,GLOBEX,FUT,USD,NQ20171215,20171201,1512201608
PA,Palladium-NYMEX(Floor+Electronic Combined),PA20_I0R.TXT,QPA,100,PA2,PA,30,4000,1729.0,201803,20171202:CLOSED;20171203:CLOSED;20171204:0930-1700;20171205:0930-1700;20171206:0930-1700;20171207:0930-1700;20171208:0930-1700;20171209:CLOSED;20171210:CLOSED;20171211:0930-1700;20171212:0930-1700;20171213:0930-1700;20171214:0930-1700;20171215:0930-1700;20171216:CLOSED;20171217:CLOSED;20171218:0930-1700;20171219:0930-1700;20171220:0930-1700;20171221:0930-1700;20171222:0930-1700;20171223:CLOSED;20171224:CLOSED;20171225:0930-1700;20171226:0930-1700;20171227:0930-1700;20171228:0930-1700;20171229:0930-1700;20171230:CLOSED;20171231:CLOSED;20180101:0930-1700;20180102:0930-1700;20180103:0930-1700;20180104:0930-1700;20180105:0930-1700,NYMEX Palladium Index,0.05,20171202:CLOSED;20171203:CLOSED;20171204:1800-1700;20171205:1800-1700;20171206:1800-1700;20171207:1800-1700;20171208:1800-1700;20171209:CLOSED;20171210:CLOSED;20171211:1800-1700;20171212:1800-1700;20171213:1800-1700;20171214:1800-1700;20171215:1800-1700;20171216:CLOSED;20171217:CLOSED;20171218:1800-1700;20171219:1800-1700;20171220:1800-1700;20171221:1800-1700;20171222:1800-1700;20171223:CLOSED;20171224:CLOSED;20171225:1800-1700;20171226:1800-1700;20171227:1800-1700;20171228:1800-1700;20171229:1800-1700;20171230:CLOSED;20171231:CLOSED;20180101:1800-1700;20180102:1800-1700;20180103:1800-1700;20180104:1800-1700;20180105:1800-1700,EST5EDT,36557097.0,,0.0,20180327,NYMEX,FUT,USD,PA20180327,20171201,1512201608
PL,Platinum-NYMEX(Floor+Electronic Combined),PL20_I0R.TXT,QPL,50,PL2,PL,30,2400,1729.0,201801,20171202:CLOSED;20171203:CLOSED;20171204:0930-1700;20171205:0930-1700;20171206:0930-1700;20171207:0930-1700;20171208:0930-1700;20171209:CLOSED;20171210:CLOSED;20171211:0930-1700;20171212:0930-1700;20171213:0930-1700;20171214:0930-1700;20171215:0930-1700;20171216:CLOSED;20171217:CLOSED;20171218:0930-1700;20171219:0930-1700;20171220:0930-1700;20171221:0930-1700;20171222:0930-1700;20171223:CLOSED;20171224:CLOSED;20171225:0930-1700;20171226:0930-1700;20171227:0930-1700;20171228:0930-1700;20171229:0930-1700;20171230:CLOSED;20171231:CLOSED;20180101:0930-1700;20180102:0930-1700;20180103:0930-1700;20180104:0930-1700;20180105:0930-1700,NYMEX Platinum Index,0.1,20171202:CLOSED;20171203:CLOSED;20171204:1800-1700;20171205:1800-1700;20171206:1800-1700;20171207:1800-1700;20171208:1800-1700;20171209:CLOSED;20171210:CLOSED;20171211:1800-1700;20171212:1800-1700;20171213:1800-1700;20171214:1800-1700;20171215:1800-1700;20171216:CLOSED;20171217:CLOSED;20171218:1800-1700;20171219:1800-1700;20171220:1800-1700;20171221:1800-1700;20171222:1800-1700;20171223:CLOSED;20171224:CLOSED;20171225:1800-1700;20171226:1800-1700;20171227:1800-1700;20171228:1800-1700;20171229:1800-1700;20171230:CLOSED;20171231:CLOSED;20180101:1800-1700;20180102:1800-1700;20180103:1800-1700;20180104:1800-1700;20180105:1800-1700,EST5EDT,36557100.0,,0.0,20180129,NYMEX,FUT,USD,PL20180129,20171201,1512201608
RB,Gasoline-Reformulated Blendstock(Combined)-NYMEX,RB20_I0R.TXT,QRB,42000,RB2,RB,30,4650,1729.0,201801,20171202:CLOSED;20171203:CLOSED;20171204:0930-1700;20171205:0930-1700;20171206:0930-1700;20171207:0930-1700;20171208:0930-1700;20171209:CLOSED;20171210:CLOSED;20171211:0930-1700;20171212:0930-1700;20171213:0930-1700;20171214:0930-1700;20171215:0930-1700;20171216:CLOSED;20171217:CLOSED;20171218:0930-1700;20171219:0930-1700;20171220:0930-1700;20171221:0930-1700;20171222:0930-1700;20171223:CLOSED;20171224:CLOSED;20171225:0930-1700;20171226:0930-1700;20171227:0930-1700;20171228:0930-1700;20171229:0930-1700;20171230:CLOSED;20171231:CLOSED,NYMEX RBOB Gasoline Index,0.0001,20171202:CLOSED;20171203:CLOSED;20171204:1800-1700;20171205:1800-1700;20171206:1800-1700;20171207:1800-1700;20171208:1800-1700;20171209:CLOSED;20171210:CLOSED;20171211:1800-1700;20171212:1800-1700;20171213:1800-1700;20171214:1800-1700;20171215:1800-1700;20171216:CLOSED;20171217:CLOSED;20171218:1800-1700;20171219:1800-1700;20171220:1800-1700;20171221:1800-1700;20171222:1800-1700;20171223:CLOSED;20171224:CLOSED;20171225:1800-1700;20171226:1800-1700;20171227:1800-1700;20171228:1800-1700;20171229:1800-1700;20171230:CLOSED;20171231:CLOSED,EST5EDT,36586917.0,,0.0,20171229,NYMEX,FUT,USD,RB20171229,20171201,1512201608
ZS,Soybeans (Floor+Electronic Combined)-CBT,S2_0_I0R.TXT,@S,5000,S2,S,15,2100,1729.0,201801,20171202:CLOSED;20171203:CLOSED;20171204:0830-1320;20171205:0830-1320;20171206:0830-1320;20171207:0830-1320;20171208:0830-1320;20171209:CLOSED;20171210:CLOSED;20171211:0830-1320;20171212:0830-1320;20171213:0830-1320;20171214:0830-1320;20171215:0830-1320;20171216:CLOSED;20171217:CLOSED;20171218:0830-1320;20171219:0830-1320;20171220:0830-1320;20171221:0830-1320;20171222:0830-1320;20171223:CLOSED;20171224:CLOSED;20171225:0830-1320;20171226:0830-1320;20171227:0830-1320;20171228:0830-1320;20171229:0830-1320;20171230:CLOSED;20171231:CLOSED;20180101:0830-1320;20180102:0830-1320;20180103:0830-1320;20180104:0830-1320;20180105:0830-1320,Soybean Futures,0.0025,"20171202:CLOSED;20171203:CLOSED;20171204:1900-0745,0830-1320;20171205:1900-0745,0830-1320;20171206:1900-0745,0830-1320;20171207:1900-0745,0830-1320;20171208:1900-0745,0830-1320;20171209:CLOSED;20171210:CLOSED;20171211:1900-0745,0830-1320;20171212:1900-0745,0830-1320;20171213:1900-0745,0830-1320;20171214:1900-0745,0830-1320;20171215:1900-0745,0830-1320;20171216:CLOSED;20171217:CLOSED;20171218:1900-0745,0830-1320;20171219:1900-0745,0830-1320;20171220:1900-0745,0830-1320;20171221:1900-0745,0830-1320;20171222:1900-0745,0830-1320;20171223:CLOSED;20171224:CLOSED;20171225:1900-0745,0830-1320;20171226:1900-0745,0830-1320;20171227:1900-0745,0830-1320;20171228:1900-0745,0830-1320;20171229:1900-0745,0830-1320;20171230:CLOSED;20171231:CLOSED;20180101:1900-0745,0830-1320;20180102:1900-0745,0830-1320;20180103:1900-0745,0830-1320;20180104:1900-0745,0830-1320;20180105:1900-0745,0830-1320",CST,11160664.0,,0.0,20180112,ECBOT,FUT,USD,ZS20180112,20171201,1512201608
CHF,Swiss Franc-CME-(Floor+Electronic Combined),SF_0_I0R.TXT,@SF,125000,SF,SF,30,3300,1729.0,201712,20171202:CLOSED;20171203:CLOSED;20171204:0830-1600;20171205:0830-1600;20171206:0830-1600;20171207:0830-1600;20171208:0830-1600;20171209:CLOSED;20171210:CLOSED;20171211:0830-1600;20171212:0830-1600;20171213:0830-1600;20171214:0830-1600;20171215:0830-1600;20171216:CLOSED;20171217:CLOSED;20171218:0830-0916,Swiss franc,0.0001,20171202:CLOSED;20171203:CLOSED;20171204:1700-1600;20171205:1700-1600;20171206:1700-1600;20171207:1700-1600;20171208:1700-1600;20171209:CLOSED;20171210:CLOSED;20171211:1700-1600;20171212:1700-1600;20171213:1700-1600;20171214:1700-1600;20171215:1700-1600;20171216:CLOSED;20171217:CLOSED;20171218:1700-0916,CST,12087802.0,,0.0,20171218,GLOBEX,FUT,USD,CHF20171218,20171201,1512201608
SI,Silver-COMEX(Floor+Electronic Combined),SI20_I0R.TXT,QSI,5000,SI2,SI,30,6500,1729.0,201803,20171202:CLOSED;20171203:CLOSED;20171204:0930-1700;20171205:0930-1700;20171206:0930-1700;20171207:0930-1700;20171208:0930-1700;20171209:CLOSED;20171210:CLOSED;20171211:0930-1700;20171212:0930-1700;20171213:0930-1700;20171214:0930-1700;20171215:0930-1700;20171216:CLOSED;20171217:CLOSED;20171218:0930-1700;20171219:0930-1700;20171220:0930-1700;20171221:0930-1700;20171222:0930-1700;20171223:CLOSED;20171224:CLOSED;20171225:0930-1700;20171226:0930-1700;20171227:0930-1700;20171228:0930-1700;20171229:0930-1700;20171230:CLOSED;20171231:CLOSED;20180101:0930-1700;20180102:0930-1700;20180103:0930-1700;20180104:0930-1700;20180105:0930-1700,NYMEX Silver Index,0.005,20171202:CLOSED;20171203:CLOSED;20171204:1800-1700;20171205:1800-1700;20171206:1800-1700;20171207:1800-1700;20171208:1800-1700;20171209:CLOSED;20171210:CLOSED;20171211:1800-1700;20171212:1800-1700;20171213:1800-1700;20171214:1800-1700;20171215:1800-1700;20171216:CLOSED;20171217:CLOSED;20171218:1800-1700;20171219:1800-1700;20171220:1800-1700;20171221:1800-1700;20171222:1800-1700;20171223:CLOSED;20171224:CLOSED;20171225:1800-1700;20171226:1800-1700;20171227:1800-1700;20171228:1800-1700;20171229:1800-1700;20171230:CLOSED;20171231:CLOSED;20180101:1800-1700;20180102:1800-1700;20180103:1800-1700;20180104:1800-1700;20180105:1800-1700,EST5EDT,36557082.0,,0.0,20180327,NYMEX,FUT,USD,SI20180327,20171201,1512201608
ZM,Soybean Meal-CBT (Floor+Electronic Combined),SM20_I0R.TXT,@SM,100,SM2,SM,15,1800,1729.0,201801,20171202:CLOSED;20171203:CLOSED;20171204:0830-1320;20171205:0830-1320;20171206:0830-1320;20171207:0830-1320;20171208:0830-1320;20171209:CLOSED;20171210:CLOSED;20171211:0830-1320;20171212:0830-1320;20171213:0830-1320;20171214:0830-1320;20171215:0830-1320;20171216:CLOSED;20171217:CLOSED;20171218:0830-1320;20171219:0830-1320;20171220:0830-1320;20171221:0830-1320;20171222:0830-1320;20171223:CLOSED;20171224:CLOSED;20171225:0830-1320;20171226:0830-1320;20171227:0830-1320;20171228:0830-1320;20171229:0830-1320;20171230:CLOSED;20171231:CLOSED;20180101:0830-1320;20180102:0830-1320;20180103:0830-1320;20180104:0830-1320;20180105:0830-1320,Soybean Meal Futures,0.1,"20171202:CLOSED;20171203:CLOSED;20171204:1900-0745,0830-1320;20171205:1900-0745,0830-1320;20171206:1900-0745,0830-1320;20171207:1900-0745,0830-1320;20171208:1900-0745,0830-1320;20171209:CLOSED;20171210:CLOSED;20171211:1900-0745,0830-1320;20171212:1900-0745,0830-1320;20171213:1900-0745,0830-1320;20171214:1900-0745,0830-1320;20171215:1900-0745,0830-1320;20171216:CLOSED;20171217:CLOSED;20171218:1900-0745,0830-1320;20171219:1900-0745,0830-1320;20171220:1900-0745,0830-1320;20171221:1900-0745,0830-1320;20171222:1900-0745,0830-1320;20171223:CLOSED;20171224:CLOSED;20171225:1900-0745,0830-1320;20171226:1900-0745,0830-1320;20171227:1900-0745,0830-1320;20171228:1900-0745,0830-1320;20171229:1900-0745,0830-1320;20171230:CLOSED;20171231:CLOSED;20180101:1900-0745,0830-1320;20180102:1900-0745,0830-1320;20180103:1900-0745,0830-1320;20180104:1900-0745,0830-1320;20180105:1900-0745,0830-1320",CST,11160676.0,,0.0,20180112,ECBOT,FUT,USD,ZM20180112,20171201,1512201608
ZT,T-Note-U.S.  2 Yr (Floor+Electronic Combined)-CBT,TU21410R.TXT,@TU,2000,TU,TU,30,550,1729.0,201803,20171202:CLOSED;20171203:CLOSED;20171204:0830-1600;20171205:0830-1600;20171206:0830-1600;20171207:0830-1600;20171208:0830-1600;20171209:CLOSED;20171210:CLOSED;20171211:0830-1600;20171212:0830-1600;20171213:0830-1600;20171214:0830-1600;20171215:0830-1600;20171216:CLOSED;20171217:CLOSED;20171218:0830-1600;20171219:0830-1600;20171220:0830-1600;20171221:0830-1600;20171222:0830-1600;20171223:CLOSED;20171224:CLOSED;20171225:0830-1600;20171226:0830-1600;20171227:0830-1600;20171228:0830-1600;20171229:0830-1600;20171230:CLOSED;20171231:CLOSED;20180101:0830-1600;20180102:0830-1600;20180103:0830-1600;20180104:0830-1600;20180105:0830-1600,2 Year US Treasury Note,0.0078125,20171202:CLOSED;20171203:CLOSED;20171204:1700-1600;20171205:1700-1600;20171206:1700-1600;20171207:1700-1600;20171208:1700-1600;20171209:CLOSED;20171210:CLOSED;20171211:1700-1600;20171212:1700-1600;20171213:1700-1600;20171214:1700-1600;20171215:1700-1600;20171216:CLOSED;20171217:CLOSED;20171218:1700-1600;20171219:1700-1600;20171220:1700-1600;20171221:1700-1600;20171222:1700-1600;20171223:CLOSED;20171224:CLOSED;20171225:1700-1600;20171226:1700-1600;20171227:1700-1600;20171228:1700-1600;20171229:1700-1600;20171230:CLOSED;20171231:CLOSED;20180101:1700-1600;20180102:1700-1600;20180103:1700-1600;20180104:1700-1600;20180105:1700-1600,CST,11160388.0,,0.0,20180329,ECBOT,FUT,USD,ZT20180329,20171201,1512201608
ZN,T-Note-U.S. 10 Yr w/Prj A-CBT(Floor+Electronic Combined),TY_1410R.TXT,@TY,1000,TY3,TY,30,1450,1729.0,201803,20171202:CLOSED;20171203:CLOSED;20171204:0830-1600;20171205:0830-1600;20171206:0830-1600;20171207:0830-1600;20171208:0830-1600;20171209:CLOSED;20171210:CLOSED;20171211:0830-1600;20171212:0830-1600;20171213:0830-1600;20171214:0830-1600;20171215:0830-1600;20171216:CLOSED;20171217:CLOSED;20171218:0830-1600;20171219:0830-1600;20171220:0830-1600;20171221:0830-1600;20171222:0830-1600;20171223:CLOSED;20171224:CLOSED;20171225:0830-1600;20171226:0830-1600;20171227:0830-1600;20171228:0830-1600;20171229:0830-1600;20171230:CLOSED;20171231:CLOSED;20180101:0830-1600;20180102:0830-1600;20180103:0830-1600;20180104:0830-1600;20180105:0830-1600,10 Year US Treasury Note,0.015625,20171202:CLOSED;20171203:CLOSED;20171204:1700-1600;20171205:1700-1600;20171206:1700-1600;20171207:1700-1600;20171208:1700-1600;20171209:CLOSED;20171210:CLOSED;20171211:1700-1600;20171212:1700-1600;20171213:1700-1600;20171214:1700-1600;20171215:1700-1600;20171216:CLOSED;20171217:CLOSED;20171218:1700-1600;20171219:1700-1600;20171220:1700-1600;20171221:1700-1600;20171222:1700-1600;20171223:CLOSED;20171224:CLOSED;20171225:1700-1600;20171226:1700-1600;20171227:1700-1600;20171228:1700-1600;20171229:1700-1600;20171230:CLOSED;20171231:CLOSED;20180101:1700-1600;20180102:1700-1600;20180103:1700-1600;20180104:1700-1600;20180105:1700-1600,CST,11078390.0,,0.0,20180320,ECBOT,FUT,USD,ZN20180320,20171201,1512201608
ZB,T-Bond-U.S.-CBT(Floor+Electronic Combined),US_1410R.TXT,@US,1000,US,US,30,4400,1729.0,201803,20171202:CLOSED;20171203:CLOSED;20171204:0830-1600;20171205:0830-1600;20171206:0830-1600;20171207:0830-1600;20171208:0830-1600;20171209:CLOSED;20171210:CLOSED;20171211:0830-1600;20171212:0830-1600;20171213:0830-1600;20171214:0830-1600;20171215:0830-1600;20171216:CLOSED;20171217:CLOSED;20171218:0830-1600;20171219:0830-1600;20171220:0830-1600;20171221:0830-1600;20171222:0830-1600;20171223:CLOSED;20171224:CLOSED;20171225:0830-1600;20171226:0830-1600;20171227:0830-1600;20171228:0830-1600;20171229:0830-1600;20171230:CLOSED;20171231:CLOSED;20180101:0830-1600;20180102:0830-1600;20180103:0830-1600;20180104:0830-1600;20180105:0830-1600,30 Year US Treasury Bond,0.03125,20171202:CLOSED;20171203:CLOSED;20171204:1700-1600;20171205:1700-1600;20171206:1700-1600;20171207:1700-1600;20171208:1700-1600;20171209:CLOSED;20171210:CLOSED;20171211:1700-1600;20171212:1700-1600;20171213:1700-1600;20171214:1700-1600;20171215:1700-1600;20171216:CLOSED;20171217:CLOSED;20171218:1700-1600;20171219:1700-1600;20171220:1700-1600;20171221:1700-1600;20171222:1700-1600;20171223:CLOSED;20171224:CLOSED;20171225:1700-1600;20171226:1700-1600;20171227:1700-1600;20171228:1700-1600;20171229:1700-1600;20171230:CLOSED;20171231:CLOSED;20180101:1700-1600;20180102:1700-1600;20180103:1700-1600;20180104:1700-1600;20180105:1700-1600,CST,11078381.0,,0.0,20180320,ECBOT,FUT,USD,ZB20180320,20171201,1512201608
ZW,Wheat-CBT (Floor+Electronic Combined),W2_0_I0R.TXT,@W,5000,W2,W,15,1000,1729.0,201803,20171202:CLOSED;20171203:CLOSED;20171204:0830-1320;20171205:0830-1320;20171206:0830-1320;20171207:0830-1320;20171208:0830-1320;20171209:CLOSED;20171210:CLOSED;20171211:0830-1320;20171212:0830-1320;20171213:0830-1320;20171214:0830-1320;20171215:0830-1320;20171216:CLOSED;20171217:CLOSED;20171218:0830-1320;20171219:0830-1320;20171220:0830-1320;20171221:0830-1320;20171222:0830-1320;20171223:CLOSED;20171224:CLOSED;20171225:0830-1320;20171226:0830-1320;20171227:0830-1320;20171228:0830-1320;20171229:0830-1320;20171230:CLOSED;20171231:CLOSED;20180101:0830-1320;20180102:0830-1320;20180103:0830-1320;20180104:0830-1320;20180105:0830-1320,Wheat Futures,0.0025,"20171202:CLOSED;20171203:CLOSED;20171204:1900-0745,0830-1320;20171205:1900-0745,0830-1320;20171206:1900-0745,0830-1320;20171207:1900-0745,0830-1320;20171208:1900-0745,0830-1320;20171209:CLOSED;20171210:CLOSED;20171211:1900-0745,0830-1320;20171212:1900-0745,0830-1320;20171213:1900-0745,0830-1320;20171214:1900-0745,0830-1320;20171215:1900-0745,0830-1320;20171216:CLOSED;20171217:CLOSED;20171218:1900-0745,0830-1320;20171219:1900-0745,0830-1320;20171220:1900-0745,0830-1320;20171221:1900-0745,0830-1320;20171222:1900-0745,0830-1320;20171223:CLOSED;20171224:CLOSED;20171225:1900-0745,0830-1320;20171226:1900-0745,0830-1320;20171227:1900-0745,0830-1320;20171228:1900-0745,0830-1320;20171229:1900-0745,0830-1320;20171230:CLOSED;20171231:CLOSED;20180101:1900-0745,0830-1320;20180102:1900-0745,0830-1320;20180103:1900-0745,0830-1320;20180104:1900-0745,0830-1320;20180105:1900-0745,0830-1320",CST,11160683.0,,0.0,20180314,ECBOT,FUT,USD,ZW20180314,20171201,1512201608
YM,DJIA Mini $5 Index-CBT,YM_0_I0R.TXT,@YM,5,YM,YM,30,4000,1729.0,201712,"20171202:CLOSED;20171203:CLOSED;20171204:0830-1515,1530-1600;20171205:0830-1515,1530-1600;20171206:0830-1515,1530-1600;20171207:0830-1515,1530-1600;20171208:0830-1515,1530-1600;20171209:CLOSED;20171210:CLOSED;20171211:0830-1515,1530-1600;20171212:0830-1515,1530-1600;20171213:0830-1515,1530-1600;20171214:0830-1515,1530-1600;20171215:CLOSED;20171216:CLOSED;20171217:CLOSED",Mini Sized Dow Jones Industrial Average $5,1.0,"20171202:CLOSED;20171203:CLOSED;20171204:1700-1515,1530-1600;20171205:1700-1515,1530-1600;20171206:1700-1515,1530-1600;20171207:1700-1515,1530-1600;20171208:1700-1515,1530-1600;20171209:CLOSED;20171210:CLOSED;20171211:1700-1515,1530-1600;20171212:1700-1515,1530-1600;20171213:1700-1515,1530-1600;20171214:1700-1515,1530-1600;20171215:1700-0830;20171216:CLOSED;20171217:CLOSED",CST,14721310.0,,0.0,20171215,ECBOT,FUT,USD,YM20171215,20171201,1512201608
