2017-11-01 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-11-01 00:00:00,Close2017-11-01 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2017-11-01 00:00:00,LastSRUN,SRUN2017-11-01 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-10-31 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-10-31 00:00:00,0.5SIG2017-10-30 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-10-31 00:00:00,0.75SIG2017-10-30 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-10-31 00:00:00,1SIG2017-10-30 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15,Date,timestamp
FSS,LLZ7,99.455,0.0135,-0.000100537877645,-1.0,-1.0,1.0,-1.0,-1.0,-31.0,2017-09-18,22.352625,44.0,11.0,11.0,164672.61625,0.754944889023,-0.000100537877645,99.455,rates,-1.0,-1.0,2017-09-18,1.0,1.0,-32.0,-32.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,0,1,1,1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1.0,0.0,0.0,-1.0,0.0,0.0,1,0,1.0,1,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,20171101,1509582052
FV,@FVZ7,117.125,0.21640625,-0.000533333333333,-1.0,-1.0,1.0,-1.0,-1.0,19.0,2017-10-04,216.40625,4.0,1.0,1.0,117125.0,1.0,-0.000533333333333,117.125,rates,-1.0,1.0,2017-10-04,-1.0,-1.0,20.0,20.0,-1.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,,1.0,4.0,-1.0,,1.0,4.0,-1.0,,0,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,0.0,1,-249.866666667,249.866666667,249.866666667,-249.866666667,249.866666667,-249.866666667,-249.866666667,249.866666667,249.866666667,249.866666667,-249.866666667,249.866666667,-249.866666667,-249.866666667,249.866666667,249.866666667,249.866666667,-249.866666667,249.866666667,-249.866666667,249.866666667,-249.866666667,-249.866666667,-249.866666667,-0.0,-249.866666667,-249.866666667,-249.866666667,-249.866666667,-249.866666667,-249.866666667,249.866666667,249.866666667,249.866666667,-249.866666667,20171101,1509582052
GC,QGCZ7,1277.3,12.29,0.00535222353404,1.0,-1.0,-1.0,-1.0,-1.0,12.0,2017-10-13,1229.0,1.0,1.0,1.0,127730.0,1.0,0.00535222353404,1277.3,metal,-1.0,1.0,2017-10-13,1.0,1.0,13.0,13.0,-1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,1,-1,1,1,1,1,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,1.0,-1.0,-1.0,-1.0,1,-1,-1.0,0,683.639512003,683.639512003,-683.639512003,683.639512003,-683.639512003,683.639512003,683.639512003,-683.639512003,-683.639512003,-683.639512003,-683.639512003,-683.639512003,683.639512003,683.639512003,683.639512003,-683.639512003,683.639512003,683.639512003,-683.639512003,683.639512003,-683.639512003,-683.639512003,683.639512003,-683.639512003,-683.639512003,0.0,-683.639512003,-683.639512003,683.639512003,0.0,683.639512003,-683.639512003,-683.639512003,-683.639512003,683.639512003,20171101,1509582052
HCM,HHIX7,11646.0,150.652205691,0.0116400277971,1.0,-1.0,-1.0,-1.0,1.0,20.0,2017-09-28,965.706886389,1.0,1.0,1.0,74652.8890655,7.8001,0.0116400277971,11646.0,index,1.0,1.0,2017-09-28,1.0,1.0,21.0,21.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,0,-1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1.0,0.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,20171101,1509582052
HG,QHGZ7,314.25,5.2925,0.0133827797485,1.0,-1.0,-1.0,-1.0,1.0,-11.0,2017-10-16,1323.125,1.0,1.0,1.0,78562.5,1.0,0.0133827797485,314.25,metal,1.0,1.0,2017-10-16,1.0,1.0,-12.0,-12.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1.0,0.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,1051.38463399,1051.38463399,-1051.38463399,1051.38463399,1051.38463399,-1051.38463399,1051.38463399,-1051.38463399,1051.38463399,-1051.38463399,-1051.38463399,-1051.38463399,1051.38463399,1051.38463399,1051.38463399,1051.38463399,1051.38463399,-1051.38463399,1051.38463399,-1051.38463399,1051.38463399,1051.38463399,1051.38463399,1051.38463399,1051.38463399,1051.38463399,-1051.38463399,1051.38463399,1051.38463399,0.0,1051.38463399,1051.38463399,-1051.38463399,1051.38463399,-1051.38463399,20171101,1509582052
HIC,HSIX7,28577.0,280.636243591,0.0133687943262,1.0,1.0,1.0,1.0,1.0,20.0,2017-09-28,1798.92721626,1.0,1.0,1.0,183183.548929,7.8001,0.0133687943262,28577.0,index,1.0,1.0,2017-09-28,1.0,1.0,21.0,21.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,20171101,1509582052
HO,QHOZ7,1.8625,0.0370872485,-0.00957192236107,-1.0,1.0,-1.0,1.0,-1.0,-16.0,2017-10-09,1557.664437,1.0,1.0,1.0,78225.0,1.0,-0.00957192236107,1.8625,energy,1.0,1.0,2017-10-09,-1.0,-1.0,-17.0,-17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,-748.763626695,748.763626695,-748.763626695,748.763626695,-748.763626695,748.763626695,-748.763626695,748.763626695,-748.763626695,-748.763626695,748.763626695,-748.763626695,748.763626695,748.763626695,-748.763626695,748.763626695,748.763626695,-748.763626695,748.763626695,-748.763626695,748.763626695,748.763626695,748.763626695,748.763626695,748.763626695,748.763626695,-748.763626695,748.763626695,-748.763626695,-0.0,-0.0,748.763626695,-748.763626695,-0.0,748.763626695,20171101,1509582052
JY,@JYZ7,0.87705,0.00555,-0.00487887899245,-1.0,-1.0,1.0,-1.0,-1.0,37.0,2017-09-08,693.75,1.0,1.0,1.0,109631.25,1.0,-0.00487887899245,0.87705,currency,-1.0,1.0,2017-09-08,-1.0,-1.0,38.0,38.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,,1.0,1.0,-1.0,,1.0,1.0,-1.0,,0,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,0.0,1,-534.877602542,534.877602542,534.877602542,-534.877602542,534.877602542,-534.877602542,-534.877602542,534.877602542,534.877602542,534.877602542,-534.877602542,534.877602542,-534.877602542,-534.877602542,534.877602542,534.877602542,534.877602542,-534.877602542,534.877602542,-534.877602542,534.877602542,-534.877602542,-534.877602542,-534.877602542,-0.0,-534.877602542,-534.877602542,-534.877602542,-534.877602542,-534.877602542,-534.877602542,534.877602542,534.877602542,534.877602542,-534.877602542,20171101,1509582052
KC,@KCZ7,122.95,2.645,-0.0171862509992,-1.0,-1.0,-1.0,-1.0,1.0,-15.0,2017-10-10,991.875,1.0,1.0,1.0,46106.25,1.0,-0.0171862509992,122.95,soft,1.0,1.0,2017-10-10,1.0,1.0,-16.0,-16.0,-1.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,0,-1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1.0,0.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,20171101,1509582052
KW,@KWZ7,415.75,7.4125,-0.00180072028812,-1.0,-1.0,1.0,-1.0,-1.0,12.0,2017-10-13,370.625,2.0,1.0,1.0,20787.5,1.0,-0.00180072028812,415.75,grain,1.0,1.0,2017-10-13,-1.0,-1.0,13.0,13.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,20171101,1509582052
LB,@LBF8,453.6,7.660131639,0.0216216216216,1.0,1.0,-1.0,1.0,1.0,24.0,2017-09-27,842.61448029,1.0,1.0,1.0,49896.0,1.0,0.0216216216216,453.6,soft,1.0,-1.0,2017-09-27,1.0,1.0,25.0,25.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,20171101,1509582052
LC,@LEZ7,126.6,1.79375,0.00776119402985,1.0,1.0,-1.0,1.0,-1.0,-5.0,2017-10-24,717.5,1.0,1.0,1.0,50640.0,1.0,0.00776119402985,126.6,meat,1.0,-1.0,2017-10-24,1.0,1.0,-6.0,-6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,393.026865672,393.026865672,393.026865672,-393.026865672,393.026865672,-393.026865672,-393.026865672,393.026865672,393.026865672,393.026865672,-393.026865672,393.026865672,-393.026865672,-393.026865672,393.026865672,-393.026865672,393.026865672,393.026865672,-393.026865672,393.026865672,-393.026865672,-393.026865672,-393.026865672,-393.026865672,-393.026865672,-393.026865672,393.026865672,-393.026865672,393.026865672,0.0,0.0,-393.026865672,393.026865672,0.0,-393.026865672,20171101,1509582052
LCO,EBF8,60.49,1.1533216845,-0.00738431243846,-1.0,1.0,-1.0,1.0,-1.0,-17.0,2017-10-06,1153.3216845,1.0,1.0,1.0,60490.0,1.0,-0.00738431243846,60.49,energy,1.0,1.0,2017-10-06,-1.0,-1.0,-18.0,-18.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,20171101,1509582052
LGO,GASZ7,547.25,10.9754314475,-0.000912825193975,-1.0,1.0,-1.0,1.0,-1.0,-16.0,2017-10-09,1097.54314475,1.0,1.0,1.0,54725.0,1.0,-0.000912825193975,547.25,energy,1.0,1.0,2017-10-09,-1.0,-1.0,-17.0,-17.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,20171101,1509582052
LH,@HEZ7,66.6,1.4575,-0.0205882352941,-1.0,1.0,1.0,1.0,-1.0,-16.0,2017-10-09,583.0,1.0,1.0,1.0,26640.0,1.0,-0.0205882352941,66.6,meat,1.0,-1.0,2017-10-09,1.0,1.0,-17.0,-17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,-548.470588235,548.470588235,-548.470588235,548.470588235,-548.470588235,548.470588235,548.470588235,-548.470588235,-548.470588235,-548.470588235,-548.470588235,-548.470588235,548.470588235,548.470588235,548.470588235,548.470588235,-548.470588235,-548.470588235,548.470588235,-548.470588235,548.470588235,548.470588235,548.470588235,548.470588235,548.470588235,548.470588235,-548.470588235,-548.470588235,-548.470588235,-548.470588235,-0.0,548.470588235,-548.470588235,-0.0,548.470588235,20171101,1509582052
LRC,LRCF8,1838.0,29.929331684,-0.0212992545261,-1.0,-1.0,-1.0,-1.0,1.0,-8.0,2017-10-19,299.29331684,3.0,1.0,1.0,18380.0,1.0,-0.0212992545261,1838.0,soft,1.0,1.0,2017-10-19,1.0,1.0,-9.0,-9.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,0,-1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1.0,0.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,20171101,1509582052
LSU,QWH8,382.6,6.2509625405,-0.00571725571726,-1.0,-1.0,-1.0,-1.0,-1.0,-23.0,2017-09-28,312.548127025,3.0,1.0,1.0,19130.0,1.0,-0.00571725571726,382.6,soft,1.0,1.0,2017-09-28,-1.0,-1.0,-24.0,-24.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,0,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,1.0,1,0,1.0,1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,20171101,1509582052
MEM,@MMEZ7,1130.1,10.395,0.00524817648105,1.0,-1.0,-1.0,-1.0,-1.0,9.0,2017-10-18,519.75,1.0,1.0,1.0,56505.0,1.0,0.00524817648105,1130.1,index,1.0,1.0,2017-10-26,-1.0,-1.0,-4.0,-4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,0,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,1.0,1,0,1.0,1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,20171101,1509582052
MFX,IBX7,10523.0,146.269652096,-0.00212414891801,-1.0,-1.0,-1.0,-1.0,1.0,19.0,2017-10-04,1699.65335735,1.0,1.0,1.0,122277.26,0.860585197935,-0.00212414891801,10523.0,index,1.0,1.0,2017-10-04,1.0,1.0,20.0,20.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,0,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,20171101,1509582052
MP,@PXZ7,0.05185,0.000588,0.000965250965251,1.0,-1.0,-1.0,-1.0,1.0,-3.0,2017-10-19,294.0,3.0,1.0,1.0,25925.0,1.0,0.000965250965251,0.05185,currency,1.0,1.0,2017-10-26,1.0,1.0,-4.0,-4.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,1.0,3.0,-1.0,,1.0,3.0,-1.0,,0,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1,75.0723938224,75.0723938224,75.0723938224,-75.0723938224,75.0723938224,-75.0723938224,75.0723938224,-75.0723938224,75.0723938224,-75.0723938224,-75.0723938224,-75.0723938224,75.0723938224,75.0723938224,75.0723938224,75.0723938224,75.0723938224,-75.0723938224,75.0723938224,-75.0723938224,75.0723938224,-75.0723938224,-75.0723938224,-75.0723938224,0.0,-75.0723938224,-75.0723938224,-75.0723938224,-75.0723938224,-75.0723938224,0.0,-75.0723938224,0.0,75.0723938224,-75.0723938224,20171101,1509582052
MW,@MWZ7,614.0,7.1625,0.00203998368013,1.0,-1.0,1.0,-1.0,-1.0,14.0,2017-10-11,358.125,2.0,1.0,1.0,30700.0,1.0,0.00203998368013,614.0,grain,1.0,1.0,2017-10-11,-1.0,-1.0,15.0,15.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20171101,1509582052
NE,@NEZ7,0.6878,0.006235,0.0061439438268,1.0,1.0,1.0,-1.0,1.0,-12.0,2017-10-13,623.5,1.0,1.0,1.0,68780.0,1.0,0.0061439438268,0.6878,currency,1.0,1.0,2017-10-13,1.0,1.0,-13.0,-13.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,-1.0,,0,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,1.0,-1,1,1.0,0,422.580456407,422.580456407,-422.580456407,422.580456407,422.580456407,-422.580456407,422.580456407,-422.580456407,422.580456407,422.580456407,422.580456407,-422.580456407,422.580456407,-422.580456407,-422.580456407,422.580456407,422.580456407,-422.580456407,422.580456407,-422.580456407,422.580456407,422.580456407,-422.580456407,422.580456407,422.580456407,0.0,422.580456407,422.580456407,422.580456407,422.580456407,0.0,422.580456407,0.0,422.580456407,-422.580456407,20171101,1509582052
NG,QNGZ7,2.893,0.0772747455,-0.00103591160221,-1.0,-1.0,1.0,-1.0,-1.0,23.0,2017-09-28,772.747455,1.0,1.0,1.0,28930.0,1.0,-0.00103591160221,2.893,energy,1.0,1.0,2017-10-13,-1.0,-1.0,13.0,13.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,-29.9689226519,29.9689226519,29.9689226519,-29.9689226519,-29.9689226519,29.9689226519,-29.9689226519,29.9689226519,-29.9689226519,29.9689226519,-29.9689226519,29.9689226519,-29.9689226519,-29.9689226519,29.9689226519,29.9689226519,29.9689226519,-29.9689226519,-29.9689226519,29.9689226519,29.9689226519,-29.9689226519,-29.9689226519,-29.9689226519,-29.9689226519,-29.9689226519,-29.9689226519,-29.9689226519,-29.9689226519,-29.9689226519,-29.9689226519,-29.9689226519,-0.0,-0.0,-29.9689226519,20171101,1509582052
NIY,@NKDZ7,22530.0,229.25,0.0144079243584,1.0,1.0,-1.0,1.0,1.0,37.0,2017-09-08,1004.33715938,1.0,1.0,1.0,98703.2331552,114.13,0.0144079243584,22530.0,index,1.0,-1.0,2017-09-08,1.0,1.0,38.0,38.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,1422.10871723,1422.10871723,1422.10871723,-1422.10871723,1422.10871723,-1422.10871723,-1422.10871723,1422.10871723,1422.10871723,1422.10871723,-1422.10871723,1422.10871723,-1422.10871723,-1422.10871723,1422.10871723,1422.10871723,1422.10871723,-1422.10871723,1422.10871723,-1422.10871723,1422.10871723,-1422.10871723,-1422.10871723,-1422.10871723,0.0,-1422.10871723,-1422.10871723,-1422.10871723,-1422.10871723,-1422.10871723,-1422.10871723,1422.10871723,1422.10871723,1422.10871723,-1422.10871723,20171101,1509582052
NQ,@NQZ7,6240.75,46.3625,-0.0014400576023,-1.0,1.0,1.0,1.0,1.0,20.0,2017-10-03,927.25,1.0,1.0,1.0,124815.0,1.0,-0.0014400576023,6240.75,index,1.0,1.0,2017-10-03,1.0,1.0,21.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,-179.740789632,179.740789632,-179.740789632,179.740789632,-179.740789632,179.740789632,-179.740789632,179.740789632,-179.740789632,-179.740789632,-179.740789632,-179.740789632,179.740789632,179.740789632,179.740789632,-179.740789632,-179.740789632,179.740789632,-179.740789632,179.740789632,-179.740789632,-179.740789632,179.740789632,-179.740789632,-179.740789632,-0.0,-179.740789632,-179.740789632,179.740789632,-0.0,179.740789632,-179.740789632,-179.740789632,-179.740789632,179.740789632,20171101,1509582052
O,@OZ7,271.5,7.2375,0.0254957507082,1.0,-1.0,1.0,-1.0,-1.0,40.0,2017-10-24,361.875,2.0,1.0,1.0,13575.0,1.0,0.0254957507082,271.5,grain,1.0,-1.0,2017-10-24,-1.0,-1.0,41.0,41.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,0,-1,1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,20171101,1509582052
OJ,@OJF8,152.05,4.21,-0.015857605178,-1.0,-1.0,-1.0,-1.0,1.0,-14.0,2017-10-11,631.5,1.0,1.0,1.0,22807.5,1.0,-0.015857605178,152.05,soft,1.0,1.0,2017-10-11,1.0,1.0,-15.0,-15.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,0,-1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1.0,0.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,20171101,1509582052
